1,1,1,1,100,red
1,1,2,2,200,purple
1,1,3,3,300,red
1,1,4,4,400,purple
1,1,5,5,500,red
1,1,6,6,600,purple
1,1,7,7,700,red
1,1,8,8,800,purple
1,1,9,9,900,red
1,1,10,10,1000,purple
1,2,1,11,1100,red
1,2,2,12,1200,purple
1,2,3,13,1300,red
1,2,4,14,1400,purple
1,2,5,15,1500,red
1,2,6,16,1600,purple
1,2,7,17,1700,red
1,2,8,18,1800,purple
1,2,9,19,1900,red
1,2,10,20,2000,purple
1,3,1,21,2100,red
1,3,2,22,2200,purple
1,3,3,23,2300,red
1,3,4,24,2400,purple
1,3,5,25,2500,red
1,3,6,26,2600,purple
1,3,7,27,2700,red
1,3,8,28,2800,purple
1,3,9,29,2900,red
1,3,10,30,3000,purple
1,4,1,31,3100,red
1,4,2,32,3200,purple
1,4,3,33,3300,red
1,4,4,34,3400,purple
1,4,5,35,3500,red
1,4,6,36,3600,purple
1,4,7,37,3700,red
1,4,8,38,3800,purple
1,4,9,39,3900,red
1,4,10,40,4000,purple
2,1,1,41,4100,red
2,1,2,42,4200,purple
2,1,3,43,4300,red
2,1,4,44,4400,purple
2,1,5,45,4500,red
2,1,6,46,4600,purple
2,1,7,47,4700,red
2,1,8,48,4800,purple
2,1,9,49,4900,red
2,1,10,50,5000,purple
2,2,1,51,5100,red
2,2,2,52,5200,purple
2,2,3,53,5300,red
2,2,4,54,5400,purple
2,2,5,55,5500,red
2,2,6,56,5600,purple
2,2,7,57,5700,red
2,2,8,58,5800,purple
2,2,9,59,5900,red
2,2,10,60,6000,purple
2,3,1,61,6100,red
2,3,2,62,6200,purple
2,3,3,63,6300,red
2,3,4,64,6400,purple
2,3,5,65,6500,red
2,3,6,66,6600,purple
2,3,7,67,6700,red
2,3,8,68,6800,purple
2,3,9,69,6900,red
2,3,10,70,7000,purple
2,4,1,71,7100,red
2,4,2,72,7200,purple
2,4,3,73,7300,red
2,4,4,74,7400,purple
2,4,5,75,7500,red
2,4,6,76,7600,purple
2,4,7,77,7700,red
2,4,8,78,7800,purple
2,4,9,79,7900,red
2,4,10,80,8000,purple
3,1,1,81,8100,red
3,1,2,82,8200,purple
3,1,3,83,8300,red
3,1,4,84,8400,purple
3,1,5,85,8500,red
3,1,6,86,8600,purple
3,1,7,87,8700,red
3,1,8,88,8800,purple
3,1,9,89,8900,red
3,1,10,90,9000,purple
3,2,1,91,9100,red
3,2,2,92,9200,purple
3,2,3,93,9300,red
3,2,4,94,9400,purple
3,2,5,95,9500,red
3,2,6,96,9600,purple
3,2,7,97,9700,red
3,2,8,98,9800,purple
3,2,9,99,9900,red
3,2,10,100,10000,purple
3,3,1,101,10100,red
3,3,2,102,10200,purple
3,3,3,103,10300,red
3,3,4,104,10400,purple
3,3,5,105,10500,red
3,3,6,106,10600,purple
3,3,7,107,10700,red
3,3,8,108,10800,purple
3,3,9,109,10900,red
3,3,10,110,11000,purple
3,4,1,111,11100,red
3,4,2,112,11200,purple
3,4,3,113,11300,red
3,4,4,114,11400,purple
3,4,5,115,11500,red
3,4,6,116,11600,purple
3,4,7,117,11700,red
3,4,8,118,11800,purple
3,4,9,119,11900,red
3,4,10,120,12000,purple
4,1,1,121,12100,red
4,1,2,122,12200,purple
4,1,3,123,12300,red
4,1,4,124,12400,purple
4,1,5,125,12500,red
4,1,6,126,12600,purple
4,1,7,127,12700,red
4,1,8,128,12800,purple
4,1,9,129,12900,red
4,1,10,130,13000,purple
4,2,1,131,13100,red
4,2,2,132,13200,purple
4,2,3,133,13300,red
4,2,4,134,13400,purple
4,2,5,135,13500,red
4,2,6,136,13600,purple
4,2,7,137,13700,red
4,2,8,138,13800,purple
4,2,9,139,13900,red
4,2,10,140,14000,purple
4,3,1,141,14100,red
4,3,2,142,14200,purple
4,3,3,143,14300,red
4,3,4,144,14400,purple
4,3,5,145,14500,red
4,3,6,146,14600,purple
4,3,7,147,14700,red
4,3,8,148,14800,purple
4,3,9,149,14900,red
4,3,10,150,15000,purple
4,4,1,151,15100,red
4,4,2,152,15200,purple
4,4,3,153,15300,red
4,4,4,154,15400,purple
4,4,5,155,15500,red
4,4,6,156,15600,purple
4,4,7,157,15700,red
4,4,8,158,15800,purple
4,4,9,159,15900,red
4,4,10,160,16000,purple
